2024-04-24 19:57:28.738713 - Среднеквадратическое отклонение (MSE): 0.2926328778266907. Спектрограммы, в промежутке от 142 до 144 секунд видео, совпадают.
2024-04-24 19:57:30.293994 - Среднеквадратическое отклонение (MSE): 0.3629195988178253. Спектрограммы, в промежутке от 144 до 146 секунд видео, совпадают.
2024-04-24 19:57:31.832669 - Среднеквадратическое отклонение (MSE): 1.2702183723449707. Спектрограммы, в промежутке от 146 до 148 секунд видео, не совпадают.
2024-04-24 19:57:33.402148 - Среднеквадратическое отклонение (MSE): 1.7288204431533813. Спектрограммы, в промежутке от 148 до 150 секунд видео, не совпадают.
2024-04-24 19:57:34.976376 - Среднеквадратическое отклонение (MSE): 1.3729854822158813. Спектрограммы, в промежутке от 150 до 152 секунд видео, не совпадают.
2024-04-24 19:57:36.557117 - Среднеквадратическое отклонение (MSE): 1.4348951578140259. Спектрограммы, в промежутке от 152 до 154 секунд видео, не совпадают.
2024-04-24 19:57:38.102117 - Среднеквадратическое отклонение (MSE): 1.832191824913025. Спектрограммы, в промежутке от 154 до 156 секунд видео, не совпадают.
2024-04-24 19:57:39.672822 - Среднеквадратическое отклонение (MSE): 1.8464010953903198. Спектрограммы, в промежутке от 156 до 158 секунд видео, не совпадают.
2024-04-24 19:57:41.585745 - Среднеквадратическое отклонение (MSE): 2.065725326538086. Спектрограммы, в промежутке от 158 до 160 секунд видео, не совпадают.
2024-04-24 19:57:43.138055 - Среднеквадратическое отклонение (MSE): 1.7213464975357056. Спектрограммы, в промежутке от 160 до 162 секунд видео, не совпадают.
2024-04-24 19:57:44.704089 - Среднеквадратическое отклонение (MSE): 2.048856735229492. Спектрограммы, в промежутке от 162 до 164 секунд видео, не совпадают.
2024-04-24 19:57:46.237797 - Среднеквадратическое отклонение (MSE): 1.2014724016189575. Спектрограммы, в промежутке от 164 до 166 секунд видео, не совпадают.
2024-04-24 19:57:47.775029 - Среднеквадратическое отклонение (MSE): 2.348658323287964. Спектрограммы, в промежутке от 166 до 168 секунд видео, не совпадают.
2024-04-24 19:57:49.315247 - Среднеквадратическое отклонение (MSE): 1.2896195650100708. Спектрограммы, в промежутке от 168 до 170 секунд видео, не совпадают.
2024-04-24 19:57:50.864555 - Среднеквадратическое отклонение (MSE): 0.9348030090332031. Спектрограммы, в промежутке от 170 до 172 секунд видео, не совпадают.
2024-04-24 19:57:52.404573 - Среднеквадратическое отклонение (MSE): 0.7365466356277466. Спектрограммы, в промежутке от 172 до 174 секунд видео, не совпадают.
2024-04-24 19:57:53.965029 - Среднеквадратическое отклонение (MSE): 0.9008939266204834. Спектрограммы, в промежутке от 174 до 176 секунд видео, не совпадают.
2024-04-24 19:57:55.509376 - Среднеквадратическое отклонение (MSE): 2.4997150897979736. Спектрограммы, в промежутке от 176 до 178 секунд видео, не совпадают.
2024-04-24 19:57:57.067828 - Среднеквадратическое отклонение (MSE): 1.9097820520401. Спектрограммы, в промежутке от 178 до 180 секунд видео, не совпадают.
2024-04-24 19:57:58.642964 - Среднеквадратическое отклонение (MSE): 0.7532126903533936. Спектрограммы, в промежутке от 180 до 182 секунд видео, не совпадают.
2024-04-24 19:58:00.197785 - Среднеквадратическое отклонение (MSE): 1.335692286491394. Спектрограммы, в промежутке от 182 до 184 секунд видео, не совпадают.
